課程代碼,course_name, ,人數指標,影片個數x,問題個數y,討論個數z,總登入次數, ,登入指標,影片觀看度a,作答度b,討論度c,參與指標,熱門參與度
SE88,居家照顧與技巧,21,12.6,47,180,0,50,2.380952381,1.32,3.65,2.41,0,2.03,4.01
F26,雲端計算與服務,21,12.6,32,11,0,42,2,6.25,3.87,4.96,0,2.95,5.54
SE87,醫學資訊學,20,12,37,33,0,40,2,5.41,1.22,0,0,0.41,3.73
SE50,老人健康生活大改造,19,11.4,70,58,0,62,3.263157895,4.66,4.59,2,0,2.22,4.54
SE34,王陽明帶你打土匪,19,11.4,76,66,0,53,2.789473684,3.67,5.54,9.09,0,4.88,5.94
SE52,現代柯南：跟著瑪斯一起探索檢驗世界,19,11.4,32,40,0,52,2.736842105,6.84,3.78,18.42,0,7.37,8.07
SE76,「華人圈課程資源分享與應用計畫」--『初階行銷企劃與模擬經營』課程,19,11.4,72,60,0,42,2.210526316,3.07,1.17,0,0,0.4,3.13
SE65,微積分拾級（三）,19,11.4,40,0,1,39,2.052631579,5.13,1.05,0,0,0.36,3.52
SE86,臨床藥學講座,19,11.4,37,68,0,33,1.736842105,2.55,0.43,0,0,0.15,2.88
SE02,教師專業素養,18,10.8,55,0,0,51,2.833333333,5.15,6.77,0,0,2.3,4.57
SE90,茶與創意生活,17,10.2,41,0,0,36,2.117647059,5.16,1.43,0,0,0.49,3.37
SE69,學習診斷與輔導,17,10.2,67,0,0,31,1.823529412,2.72,0.26,0,0,0.09,2.64
SE72,生活中無所不在的物理,17,10.2,129,28,0,29,1.705882353,1.32,0.64,0,0,0.22,2.43
SE79,大學普通物理實驗─手作坊,16,9.6,63,21,0,47,2.9375,4.66,6.15,0,0,2.09,4.11
SE66,微積分拾級（二）,16,9.6,50,385,0,29,1.8125,0.47,0.12,0.41,0,0.18,2.12
SE41,共善的社會設計,15,9,27,0,0,40,2.666666667,9.88,2.96,0,0,1.01,4.38
SE81,全球化/在地化莎士比亞,15,9,78,20,0,32,2.133333333,2.74,1.28,0,0,0.44,2.61
SE38,傳藝臺灣-遇見臺灣傳統表演藝術的「人間國寶」,14,8.4,89,0,0,43,3.071428571,3.45,9.55,0,0,3.25,4.32
SE60,地球從誕生到演化,14,8.4,61,0,0,35,2.5,4.1,1.87,0,0,0.64,2.88
SE80,西遊記,13,7.8,87,40,0,32,2.461538462,2.83,1.15,0,0,0.39,2.36
XF17,數位人文概論,12,7.2,12,0,0,68,5.666666667,47.22,12.5,0,0,4.25,13.43
XF09,生質能教學聯盟中心─氣態生質能源模廠應用,12,7.2,24,112,0,18,1.5,1.34,0.32,0,0,0.11,1.77
XF15,計算思維,11,6.6,0,0,0,54,4.909090909,0,0,0,0,0,1.32
SE39,戲曲臉譜畫西遊,11,6.6,93,0,0,49,4.454545455,4.79,13.49,0,0,4.59,5.03
SE62,臺灣當代藝術與視覺文化鑑賞,11,6.6,52,0,0,23,2.090909091,4.02,0.7,0,0,0.24,2.27
SE24,海洋環境與生態保育,10,6,78,0,0,51,5.1,6.54,5.9,0,0,2.01,3.71
SE91,本聲綱目,9,5.4,13,0,0,31,3.444444444,26.5,5.98,0,0,2.03,7.6
XF14,佛學數位資源與佛學研究,7,4.2,40,0,0,76,10.85714286,27.14,8.93,0,0,3.04,8.09
SE68,國際人權法律與實務,7,4.2,71,50,0,21,3,4.23,1.01,0,0,0.34,1.89
SE89,醫用客語與客家文化,7,4.2,45,100,0,20,2.857142857,2.86,0,0,0,0,1.41
XF16,數位人文與專題實作,6,3.6,5,0,0,55,9.166666667,100,36.67,0,0,12.47,28.2
SE74,宜蘭歷史踏查,6,3.6,69,50,0,19,3.166666667,4.59,0.24,0,0,0.08,1.69
F27,小數界大學問－翻轉生活數學,6,3.6,5,6,0,18,3,50,0,8.33,0,2.75,12.37
XF08,住商與運輸節能教學聯盟中心-車輛潔淨動力系統,3,1.8,10,2,0,26,8.666666667,86.67,6.67,0,0,2.27,19.05
XF05,風能與海洋能教學聯盟中心─海洋能源開發,2,1.2,90,32,0,28,14,15.56,15.56,1.56,0,5.8,6.83
